	cause	effect
0	contribute-13.2-1,military_action,characterize-29.2-1-1	sinitic,china,influence,cede,taiwan,japan,written_agreement,Shimonoseki
1	force,rational_motive	military_service,gas,influence,safeguarding,china,self-government,south,china,body_of_water
2	promotion,assembly,grant,weekday,say-37.7-1,build-26.1-1	Duterte,said,'ll,beginning,conversation,fund,head,gum_resin,Diokno,communicator,corporate_executive,statement,furniture,gathering
3	characterize-29.2-1,run-51.3.2,china,position,say-37.7-1,patrick,joyce,boston,artist,meeting,New,dynasty,conjecture-29.5-1	content
4	information,pocket-9.10,pull_off,property,disagreement,document,create,difficulty,group_action,say-37.7-1,mix-22.1-2	conversation,actor's_line,small_indefinite_quantity
5	commerce,military_action,china,future_having-13.3,commerce,military_action,businessperson,china,abstraction,say-37.7-1,Xinhua,tend,consider-29.9-2,run-51.3.2	gon,commerce,military_action
6	activity,amuse-31.1,strain,china,philippines,harkat-ul-mujahidin,consequence,information,meeting,beijing,put-9.1-2	causal_agent,philippines,charge,china
7	group_action,adversity,fear,operation,pocket-9.10,say-37.7-1	traveler,canceling,motion,idea,Xu
8	china,production,activity,situation,<empty>,<empty>,solve,<empty>,become,<empty>,long-32.2-1,say-37.7-1	increase,strain,content,extremity,phenomenon,curiosity
9	china,production,activity,situation,<empty>,<empty>,solve,<empty>,become,<empty>,long-32.2-1,say-37.7-1	increase,strain,content,extremity,phenomenon,curiosity
10	continue-55.3	region
11	concept,Arbitral,assembly,Hague,happening,bring-11.3-1,philippines,china,south,china,body_of_water,say-37.7-1,Zhi,admire-31.2	political_unit,activity,china
12	Donald,playing_card,bring-11.3,officeis,say-37.7-1,continue-55.3,cooperate-73-3,correspond-36.1-1,solve	production,activity,increase,strain,location,philippines,disagreement,china,conversation,United,administrative_district,plan_of_action
13	future_having-13.3,characterize-29.2-1,say-37.7-1	anticipation,philippines,polity,curiosity,political_unit
14	statement,accompany-51.7,chase-51.6,say-37.7-1,amuse-31.1	disagreement,south,china,body_of_water,china,association,abstraction,time_period
