	cause	effect
0	['lack', 'translink', 'event', 'organizers']	['service', 'gold', 'coast']
1	['philippines', 'won', 'case']	['duterte', 'called']
2	['china']	['china', 'sea', 'dispute']
3	['know', 'chinese']	['countries', 'anxious']
4	['law', 'not', 'fully', 'respected']	['tension']
5	['security', 'issue']	['issue', 'directly', 'affects', 'countries', 'indirectly', 'affects', 'asean']
6	['lack', 'enforcement', 'mechanism']	['hague', 'award', 'parties']
7	['countries', 'expanding', 'budgets']	['governance', 'suffered', 'setback']
8	['region', 'efforts', 'oppose', 'issues']	['china', 'result', 'concerns']
9	['coordinator', 'assume', 'year']	['singapore', 'holds', 'significance', 'diplomacy']
10	['operations', 'major', 'strategy', 'check', 'region']	['administration', 'continuing', 'practice']
11	['stir', 'tension', 'china', 'philippines']	['philippines', 'laid', 'accusations']
12	['expansionist', 'greed', 'capital', 'resources']	['wars', 'occur']
13	['easily', 'throw']	['discard', 'stirring', 'confrontation']
14	['state', 'pay', 'money', 'nations']	['nations', 'hesitant', 'participate', 'framework']
15	['region', 'agreed', 'resolve']	['excuse', 'appears']
16	['china', 'not', 'possibly', 'pose', 'country']	['chinese', 'not', 'understand']
17	['aircraft']	['compared', 'navies', 'strength']
18	['disputes', 'reefs']	['realize']
19	['national', 'policy', 'strategy', 'not']	['country', 'poses', 'countries']
20	['cut']	['past', 'aspect']
21	['refusal', 'face', 'squarely', 'history', 'actions']	['definitely', 'worsen', 'relations']
22	['destabilize', 'balance']	['china', 'strongly', 'opposes']
23	['nation', 'caused', 'harm']	['countries', 'caution', 'measures']
24	['opinions', 'cabinet']	['seen']
25	['suspected', 'kong', 'law']	['vehicles', 'impounded', 'customs']
26	['strategic', 'pivot', 'asia']	['reason', 'duterte', 'distanced', 'alliance']
27	['opportunities', 'country']	['filipinos', 'suffer', 'poverty']
28	['makes']	['ties', 'not', 'deepening', 'trust']
29	['want']	['obama', 'beating', 'concept', 'possibly']
30	['mighty', 'military', 'deterrence']	['crucial', 'safeguarding', 'sovereignty']
31	['partnership', 'agreement']	['policy', 'agenda']
32	['provoked', 'waters']	['lays', 'allies']
33	['india', 'spat', 'islands']	['hope']
34	['harm', 'ties']	['administration', 'not', 'marked', 'tensions']
35	['advisor', 'warned', 'washington', 'revoke']	['beijing', 'warned']
36	['waters', 'administered', 'city']	['china', 'angered', 'vietnam']
37	['wanted', 'turtles']	['beijing', 'seize', 'seas']
38	['trump', 'criticized', 'countries']	['relations', 'worse']
39	['abbott', 'ignored', 'warning']	['expressed', 'concern']
40	['cleric', 'sparked', 'attacks', 'posts']	['qatar', 'pulled']
41	['nations', 'approved', 'coc']	['china', 'conduct', 'coc', 'china', 'sea']
42	['wang', 'develop', 'ties']	['manila', 'seek']
43	['guaranteed', 'missiles']	['ship', 'later', 'released']
44	['losing', 'war']	['china', 'forced', 'cede']
45	['duterte', 'visit', 'china']	['case', 'peacefully', 'resolved']
46	['creation', 'pearl', 'chain']	['success', 'come']
47	['aimed', 'furthering']	['administration', 'partnership', 'policy', 'agenda']
48	['visit', 'significantly', 'improved', 'ties']	['duterte', 'expected', 'visit']
49	['diplomat', 'refused', 'proposal', 'aside', 'case']	['beijing', 'urged', 'manila', 'walk']
50	['ruling', 'announced']	['beijing', 'issued', 'statements', 'immediately']
51	['administration', 'threats', 'disputes']	['beijing', 'says', 'protect']
52	['donglang', 'doklam', 'year']	['province', 'signaled', 'warming']
53	['china', 'attempt', 'defend']	['warships', 'repeatedly', 'taken', 'sea']
54	['flaring', 'tensions', 'disputes']	['relations', 'suffered', 'setback']
55	['joint', 'efforts']	['sea', 'stabilized']
56	['nuclear', 'sanctions']	['relations', 'iran', 'dates', 'downfall']
57	['trade', 'deficits', 'china']	['possible', 'showdown', 'economies']
58	['crimea', 'crisis']	['willingness', 'reset', 'relations', 'relations']
59	['nations', 'region']	['integration', 'weakening']
60	['majority', 'singaporeans']	['relations', 'resilient']
61	['terror', 'attacks', 'disputes']	['philippines', 'losing', 'attraction']
