cause	effect
lack of communication between translink and event organizers.	A disruption in bus service in Gold Coast
the Philippines won the arbitration case against China over the disputed South China Sea.	Philippine Rodrigo Duterte called for a cabinet meeting
China's recent massive island reclamation following its unilateral territorial claim of 80 per cent of the whole sea under the nine-dash line.	The South China Sea dispute is one of the most pressing security issues in East Asia
they don't know for sure if it is another ploy by the Chinese	Regional countries are anxious
international law has not been fully respected.	The tension in the South China Sea is
it is a security issue in the middle of Southeast Asia.	The South China Sea dispute is an issue that directly affects four of the ASEAN countries, but indirectly affects the whole of ASEAN
a lack of an international enforcement mechanism.	The Hague award is legally binding yet whether it will be observed by relevant parties, particularly China
major countries expanding their defense budgets and attaching increasing importance to traditional security.	Global security governance has suffered a setback
China's growing influence in the region, Japan has been ramping up its efforts to oppose China in regional and international issues.	Due to its strained ties with China as a result of their territorial dispute and its concerns about having lost status
it is the current official coordinator of China-ASEAN relations, and will assume the presidency of ASEAN next year.	Singapore holds special significance to Chinese diplomacy
it perceives the so-called freedom of navigation operations as a major US strategy to check China's influence in the region.	The Donald Trump administration is continuing that practice, perhaps
they attempted to stir up tension between China and the Philippines	Individual persons in the Philippines laid indiscreet accusations towards China only
expansionist greed for capital and resources.	Wars occur
it could easily throw China-US relations off balance and squander the fruitful results achieved so far in advancing bilateral cooperation.	Trump discard the strategy of stirring up confrontation in the South China Sea is both dangerous and counterproductive
a third-party’s ability to order the state itself to pay large sums of money, which is understandably disconcerting for less familiar and stable nations.	Many nations are hesitant to participate in the ISDS framework
countries in the region have agreed to resolve their maritime disputes with China through dialogue.	"Using ""freedom of navigation operation"" as an excuse appears particularly ridiculous"
being thousands of miles away from Australia, China cannot possibly pose any direct threat to the country.	"Many Chinese still cannot understand why the ""China threat"" theory has been hyped from time to time in Australia,"
its aircraft, submarine and other vessels are not yet a cohesive force.	But compared with the high standards of some other countries' navies, China's general naval strength is not that satisfactory,
the disputes over sovereignty and jurisdiction of islands and reefs, marine resources and strategic sea lanes.	We should realize that China still faces maritime threats such as contradictions, frictions, even the threat of war
