cause	effect
lack communication translink event organizers 	disruption bus service 
won arbitration case disputed 	called cabinet meeting 
island reclamation following claim cent sea dash line 	dispute security issues tensions boiling 
know ploy 	countries 
not respected 	tension 
security issue middle 	dispute issue affects countries affects whole 
lack enforcement mechanism 	award will observed parties 
countries expanding defense budgets attaching increasing importance security 	security governance suffered setback 
growing influence region ramping efforts oppose issues 	ties result dispute concerns having lost status 
coordinator relations will assume presidency year 	holds significance diplomacy 
perceives called freedom navigation operations strategy check influence region 	administration continuing practice 
attempted stir tension 	persons laid accusations 
greed capital resources 	wars occur 
could throw relations balance squander results achieved advancing cooperation 	trump discard strategy stirring confrontation 
party ability order state pay sums money disconcerting nations 	nations participate framework 
countries region agreed resolve disputes dialogue 	using freedom navigation operation excuse appears 
thousands miles can not pose threat country 	can not understand threat theory hyped time time 
aircraft submarine vessels not force 	compared standards countries navies strength not 
disputes sovereignty jurisdiction islands reefs resources sea lanes 	should realize faces maritime threats contradictions frictions threat war 
defense policy strategy not power 	country poses threat countries 
cut relations soured 	past exchanges aspect relations 
administration refusal face history actions 	will worsen relations 
will destabilize balance favor 	protests organized business conglomerate headquartered accepted plot land exchange course system will deployed move opposes 
nation caused harm others 	need countries take caution defense measures 
unpredictability opinions 	remained seen would follow proposal 
suspected breach law 	vehicles impounded customs 
impact pivot 	reason distanced country alliance 
lack resources opportunities country 	suffer poverty 
administration rebalancing strategy deployment makes feel 	ties improving not deepening trust 
want allies believe accepted equal 	beating concept 
military deterrence 	navy air force safeguarding sovereignty 
aimed furthering interests 	administration may put policy agenda revising 
helped create provoked disputes waters 	lays bare hypocrisy allies 
dispute spat 	hope alliance could forged world nation economy 
can harm ties 	months administration should not marked tensions 
advisor warned might revoke trading privileges enacts security law 	warned will take measure protect interests 
announcing weekend islands surrounding waters would administered districts city created 	angered 
wanted fish sea turtles 	trying seize seas 
criticized phone refugee resettlement agreement president made countries 	relations becoming 
ignored warning joined 	expressed concern 
execution cleric sparked attacks posts move show solidarity kingdom 	pulled ambassador year 
nations approved framework 	proposed step vision step consultations 
meeting develop ties 	seek exploration resources benefit people nations 
government guaranteed missiles would used would not buy 	ship released 
losing 	forced cede 
visit 	arbitration case resolved 
creation 	success will come 
aimed furthering interests 	administration may put policy agenda 
state visit improved ties 	expected visit attend summit 
diplomat refused proposal put ruling arbitration case concerning 	urged walk path 
arbitration ruling announced 	issued statements 
administration threats maritime disputes 	says will protect territory 
border standoff year 	province signaled warming relations 
miscalculations done attempt defend waters 	actions warships taken 
flaring tensions disputes 	relations suffered setback 
efforts countries 	situation stabilized cooled 
sanctions 	military defence relations dates co - operation saw downfall 
complaints trade deficits 	showdown economies 
crisis 	willingness reset relations resulted relations worsened 
friction nations region 	integration weakening 
majority origin 	relations 
terror attacks disputes 	losing attraction 
