	cause	effect
0	losing,Japanese,War	Chinese,remember,China,forced,cede,Taiwan,Japan,Treaty,Shimonoseki
1	military,deterrence	navy,air,force,safeguarding,China,sovereignty,South,China,Sea
2	ad,tribunal,award,Tuesday	Duterte,said,'ll,start,talks,Budget,Secretary,Benjamin,Diokno,told,reporters,saying,president,made,remarks,cabinet,meeting
3	seeing,clip,China,standpoint,said,Patrick,Joyce,Boston,photographer,visiting,New,York	feel,issue
4	example,can,manage,way,dispute,resolution,creating,problems,conflict,said,adding	talked,CUES,bit
5	trade,war,China,will,trade,war,suppliers,China,relations,told,Xinhua	tend,think,gon,go,trade,war
6	attempted,stir,tension,China,Philippines,Hua,said,response,news,conference,Beijing	persons,Philippines,laid,accusations,China
7	conflicts,disasters,terror,attacks,can	tourists,canceling,travel,plans,Xu,said
8	China,making,efforts,others,doing,things,could	escalation,tensions,issue,would,solved,would,become,end,result,would,hurt,interests,said
9	China,making,efforts,others,doing,things,could	escalation,tensions,issue,would,solved,would,become,end,result,would,hurt,interest,said
10	continued	territory
11	ruling,Arbitral,Tribunal,Hague,case,brought,Philippines,China,South,China,Sea,said,Zhi	country,stand,support,China
12	Donald,Trump,takes,officeis,said	continuing,work,making,use,relaxation,tension,region,Philippines,agreed,solve,disputes,China,talks,United,States,policy
13		hope,Philippines,government,will,consider,interest,countries,said
14	declaration,conduct,followed,said	dispute,South,China,Sea,affected,China,ASEAN,relations,years
15	DOC,implementation	Philippines,China,right,file,arbitration,process,Cheng,said,aspect,PCA,arbitration,jurisdiction,case,Philippines,take,steps
16	year,harmed,trust,line,interests,China,United,States,said,Wu	release,reports,US,side,year
17	year,harmed,trust,ask,United,States,abandon,Cold,War,mindset,adopt,attitude,China,defense,developments,said	release,reports,year
18	months,sees,failed,force,China,concede,manner,regarding,issues,Washington,believes,added	Trump,administration,might,make,adjustment,adopt,China,policy
19	ruling,made,month,Philippines,asked,ASEAN,repeat,ruling,says	
20	start,swim,invade,China,territory	joke,Vietnam,Philippinesno,allowed,go,swimming,ocean
21	can,go,Wu,says	soldiers,want,fight,win
22	award,claim,land,features,rocks,entitlement,miles,told,China,Daily,e,-,mail,seminar	will,undertake,actions,future
23	country	Cambodia
24	happening,South,China,Sea,reason,concerned,state,relationship	
25	areas,cooperation,China,Philippines,Southeast,Asia	part,BRI
26	DPRK,neighbor	taking,measures,implement,United,Nations,Security,Council,sanctions,sanctions,would,implemented,cost,China
27	DPRK,Democratic,People,Republic,Korea,neighbor	taking,measures,implement,United,Nations,Security,Council,sanctions,sanctions,would,implemented,cost,China
28	meeting	held,conference,years,Liu,told,reporters
29	option	take,war,violence
30	day,meeting,adding,meeting	objective,maintaining,promoting,peace,stability,region,sides,discussed,ways,manage,prevent,incidents,sea,promote,dialogue,cooperation,issues,enhance,trust,confidence,said,statement,issued
31	Japan,neighboring,country,relations,Japan	colonized,beginning,century,Japan
32	hoopla,disputes,South,China,Sea	priority,region,de,escalating,tensions,finding,ways,prevent,manage,crises
33	defense,policy,strategy,power	country,poses,threat,countries
34	Duterte,speech,policymakers,released,statement,saying,integration,mean,Philippines,turning,back,West	hours
35	day,work,Yongxing,Island,Sansha,Hainan,province	fisherman,transports,catch
36	took,office	proposed,idea,Security,Diamond,China,article
37	meeting,said,mechanism,should,platform,confidence,building,measures,promoting,maritime,cooperation,maritime,security	news,release,issued
38	President,Rodrigo,Duterte,visit,China	row,year,caused,Philippines,arbitration,case,China,resolved
39	US,election,decide,fate,decades,exercises	meeting,US,officials,scheduled,Oct,postponed,Nov
40	trade,war,step,containment,policy,will	confrontation,existing,power,rising,power,world,order,rules
41	According,Hua,China,expects,believes,meeting,will,help,countries,manage,differences,promote,maritime,cooperation	resolving,disputes,creating,atmosphere,enhance,ties,cooperation,areas
42	India,China,India,leader	According,OECD,period,ASEAN,growth,rate,projected,Asia
43	meeting,dialogue,parties,exchanged,views,issues,concern,considered,approaches,address,issues,way	According,statement,issued
44	China,established,dialogue,relationship,ASEAN,potential,cooperation	years
45		settlement,mechanism,formed,China,mediator
46		interdependence,built,community,shared,interests,can,winner,trade,war
47		keeping,tensions,serves,US,interests,helps,justify,presence,region,part,rebalancing,Asia,Pacific,strategy
48		development,stability,can,endowed,others,can,achieved,efforts,countries,region
49		Sirivudh,founder,Cambodian,Institute,Cooperation,Peace,chairman,think,tank,board,directors
50		countries,leaders,met,sidelines,G20,Summit,Hangzhou,affirming,aspiration,thaw,ties
51		issues,South,China,Sea,disputes,call,action,collaboration,poverty,smuggling,terrorism
52		accommodating,core,interests,concerns,foundations,nation,nation,ties,will
53	tribunal,Hague,ruled,favor,Philippines,dispute,China,South,China,Sea,July	vested,interests,thought,East,Asia,Summit,meetings,Laos,could,occasion,drum,China,sentiments
54	tribunal,Hague,announced,award	war,words,intensified,situation,spiral,control
55	assuming,UN,Security,Council,presidency,month	Japan,trying,internationalize,South,China,Sea,issue,world,body
